Practice_ID,Quarter,Year,Visit_Volume,Avg_Wait_Time_Min,Patient_Satisfaction_Score,No_Show_Rate,Followup_Adherence_Rate,Staff_to_Patient_Ratio,Provider_Productivity,A1C_Screening_Compliance,Total_Providers_FTE,Total_Staff_FTE,Unique_Patients_Seen
AP009,Q4,2024,1019,26.1,83.7,96,91,0.017,1267.7,55.6,2.0,29.0,1175
AP005,Q2,2020,3620,11.8,78.8,69,70,0.037,2229.4,7.5,5.3,36.2,302
AP006,Q3,2021,2820,31.0,61.1,61,53,0.02,658.4,69.1,1.7,38.0,826
AP001,Q2,2024,2779,45.0,36.7,84,89,0.044,973.8,56.4,1.1,12.9,1578
AP004,Q3,2021,1268,24.4,87.2,92,78,0.068,903.2,83.9,2.5,29.9,1101
AP003,Q1,2022,723,2.6,89.2,98,71,0.008,463.5,76.8,4.9,39.3,1333
AP010,Q3,2020,4877,42.6,57.1,72,76,0.038,602.1,21.4,5.7,32.4,1338
AP003,Q3,2020,4669,2.0,11.0,63,69,0.012,838.9,46.1,3.0,46.3,1391
AP002,Q1,2020,756,27.3,45.2,61,77,0.024,2448.2,3.9,1.8,26.1,1128
AP006,Q3,2020,541,44.3,22.3,60,71,0.016,267.6,20.0,1.2,31.3,737
AP008,Q3,2022,1506,23.5,45.3,60,87,0.032,489.4,88.5,5.5,23.2,830
AP007,Q1,2023,1224,54.7,69.1,42,50,0.023,1239.5,68.6,1.2,33.3,1584
AP009,Q2,2020,1977,6.8,42.2,82,36,0.014,1779.2,46.8,2.3,44.9,406
AP007,Q2,2021,2101,44.4,23.2,80,71,0.035,810.0,86.3,2.4,17.2,1792
AP005,Q4,2021,2976,6.2,11.1,43,58,0.02,754.7,73.9,3.3,12.7,1892
AP002,Q1,2024,4796,36.8,86.7,75,72,0.037,1356.2,94.9,4.1,45.1,1074
AP012,Q4,2022,4750,28.8,96.2,55,77,0.025,2335.5,75.7,1.9,23.8,1030
AP002,Q4,2022,4956,27.5,44.7,89,77,0.056,1198.9,3.4,4.5,38.9,307
AP008,Q3,2023,3814,49.0,96.0,69,74,0.013,2103.5,78.6,1.6,45.6,1012
AP010,Q2,2023,2455,38.7,74.8,62,83,0.009,1916.9,39.2,2.0,44.7,1964
AP011,Q4,2021,1885,16.8,70.0,67,55,0.076,1352.4,16.3,2.2,36.2,1917
AP006,Q1,2023,2455,56.3,21.1,74,70,0.026,1028.2,36.1,1.1,11.3,1259
AP011,Q3,2024,4451,50.6,24.7,64,61,0.024,420.0,70.3,4.6,49.4,1586
AP003,Q4,2020,2087,21.0,33.0,70,60,0.038,739.8,94.4,5.3,11.4,1856
AP006,Q1,2022,2287,2.2,96.9,63,77,0.056,560.8,23.5,3.1,42.2,1445
AP003,Q1,2022,2315,58.8,17.1,65,87,0.026,498.0,64.8,4.8,25.0,506
AP002,Q1,2021,4727,38.1,22.3,91,64,0.028,1412.4,65.6,3.7,42.5,890
AP004,Q4,2021,4774,16.2,88.9,80,88,0.037,1274.5,78.5,4.6,12.8,1515
AP011,Q1,2021,936,30.5,35.0,54,72,0.008,2362.4,78.7,5.9,18.4,1445
AP006,Q1,2021,2380,55.9,60.0,54,50,0.022,994.1,36.2,2.4,31.2,593
AP011,Q2,2021,3378,27.1,13.2,79,75,0.019,1249.7,76.2,4.8,29.0,1550
AP005,Q1,2023,1483,47.6,12.7,73,69,0.013,129.2,99.5,2.4,48.9,763
AP003,Q4,2022,4646,24.1,74.5,40,88,0.024,767.9,83.8,5.5,13.5,1789
AP004,Q2,2020,566,7.6,87.4,74,79,0.041,485.6,35.8,4.3,35.2,1515
AP006,Q1,2023,3106,31.8,50.4,64,72,0.011,1868.8,26.3,4.0,37.2,1356
AP004,Q1,2020,1757,19.2,73.4,75,81,0.009,652.6,63.3,3.9,30.0,522
AP004,Q4,2022,1734,26.8,89.4,57,95,0.06,398.0,82.6,4.6,49.8,350
AP002,Q2,2021,2040,38.8,57.4,61,53,0.046,836.4,43.3,4.4,38.7,1918
AP005,Q3,2021,2101,4.5,7.1,73,70,0.014,727.9,91.9,1.6,27.0,864
AP002,Q3,2020,2719,44.5,39.8,77,66,0.052,614.5,55.7,1.8,38.0,1142
AP010,Q2,2024,1050,59.4,5.5,88,83,0.02,883.4,63.6,5.3,30.4,619
AP007,Q4,2022,2121,37.6,1.1,80,62,0.087,448.6,75.1,5.5,46.1,1483
AP009,Q1,2020,3401,7.5,89.7,57,67,0.037,602.2,14.3,5.7,18.6,343
AP006,Q4,2020,2452,38.2,58.3,60,76,0.009,646.8,20.0,1.2,39.1,1312
AP005,Q2,2022,541,30.7,39.4,60,67,0.046,513.1,43.2,3.4,24.9,601
AP005,Q2,2021,1683,6.6,32.6,79,50,0.022,139.8,86.6,3.5,32.4,677
AP004,Q2,2023,1309,3.7,67.8,83,85,0.013,975.8,3.7,3.3,34.7,1819
AP002,Q1,2022,4107,2.0,91.5,58,96,0.02,143.5,8.9,2.8,46.1,1150
AP005,Q4,2020,589,32.0,73.6,56,43,0.076,839.5,98.4,4.3,23.8,1702
AP012,Q2,2023,4376,30.5,35.6,69,74,0.023,594.1,9.4,1.0,18.1,1010
AP007,Q2,2024,4835,29.1,56.8,93,51,0.024,838.6,14.8,5.0,14.8,836
AP003,Q1,2020,1210,1.3,38.3,64,65,0.069,515.0,67.6,2.9,32.7,1345
AP012,Q4,2021,3442,52.4,8.6,72,96,0.023,1133.1,45.6,2.6,26.5,1942
AP010,Q2,2020,4865,49.3,90.7,69,88,0.032,223.3,98.4,1.4,25.3,1398
AP002,Q1,2021,2637,46.3,86.2,89,66,0.043,209.1,49.1,4.1,22.7,1900
AP011,Q2,2020,3210,57.7,53.3,68,73,0.011,1298.8,21.1,2.5,26.2,782
AP007,Q2,2024,2513,54.1,30.4,88,52,0.022,130.9,7.6,4.9,11.9,1204
AP001,Q4,2022,3074,37.1,78.3,87,90,0.032,2034.4,60.2,5.6,42.8,1750
AP010,Q3,2023,4492,22.4,83.0,45,89,0.029,2114.6,98.0,4.2,46.2,877
AP005,Q4,2022,1420,59.9,30.1,69,84,0.061,419.1,21.6,1.6,24.6,300
AP002,Q4,2021,1566,24.1,90.7,57,70,0.013,1399.0,13.2,4.1,32.1,1277
AP008,Q3,2023,3847,1.4,38.3,98,63,0.01,3232.5,43.0,1.6,18.3,1430
AP003,Q2,2020,3249,37.2,68.0,65,69,0.059,720.3,84.7,3.0,38.7,1807
AP002,Q4,2024,4332,9.7,5.3,91,68,0.018,261.3,47.2,3.8,43.3,1407
AP004,Q2,2020,1742,20.3,93.6,74,74,0.037,637.1,19.2,4.7,41.8,1082
AP006,Q3,2023,2175,44.5,55.4,67,71,0.027,2456.0,32.7,2.8,17.2,1881
AP010,Q3,2023,2864,35.8,33.8,76,92,0.007,384.6,37.7,1.1,36.6,1592
AP011,Q3,2020,2289,11.0,95.3,92,80,0.076,788.0,15.1,4.8,38.8,1474
AP003,Q2,2020,2293,48.1,84.2,98,90,0.006,462.7,38.9,1.4,16.3,646
AP010,Q3,2023,4444,6.6,74.0,69,69,0.02,898.6,67.9,2.1,44.8,1878
AP008,Q2,2023,4881,35.8,18.2,72,75,0.024,768.2,92.3,5.9,31.5,1174
AP007,Q3,2022,1501,5.3,63.3,53,24,0.019,265.9,54.0,1.1,22.6,1399
AP005,Q4,2020,2537,43.3,33.0,72,81,0.03,963.6,15.6,3.0,35.8,656
AP003,Q4,2021,1869,1.5,19.3,78,73,0.013,1554.7,81.4,3.5,27.0,1232
AP006,Q4,2020,2525,29.4,87.1,66,74,0.009,253.3,95.7,4.5,27.8,977
AP003,Q1,2022,1039,44.6,86.2,86,51,0.018,268.5,17.9,5.9,13.1,1709
AP002,Q4,2024,632,11.0,46.1,88,89,0.023,172.5,7.2,4.6,46.5,941
AP009,Q1,2020,3388,6.4,45.2,75,62,0.034,148.9,69.9,2.9,23.7,477
AP002,Q1,2023,2825,16.2,44.5,71,73,0.023,945.4,47.6,5.8,45.6,1706
AP004,Q3,2022,2895,3.8,44.5,78,67,0.024,2110.8,56.4,1.4,16.1,536
AP010,Q2,2024,3216,4.4,30.3,78,62,0.039,1578.5,50.9,1.3,21.7,957
AP002,Q2,2024,1791,2.2,70.9,83,62,0.085,1616.7,37.3,1.8,46.1,1239
AP003,Q3,2023,2019,38.2,69.2,87,65,0.041,1039.3,26.5,6.0,22.6,1508
AP009,Q1,2021,1485,56.5,58.5,56,84,0.023,134.8,81.0,3.9,14.5,576
AP001,Q1,2024,1531,50.5,46.5,76,80,0.039,1418.3,38.8,4.3,22.9,1187
AP002,Q1,2022,793,55.9,75.4,76,49,0.011,993.5,30.3,2.3,34.1,1973
AP001,Q3,2022,575,29.5,45.0,62,80,0.033,4169.1,13.9,2.5,19.8,1578
AP012,Q2,2023,3762,2.6,34.3,83,83,0.018,682.6,80.1,3.0,34.8,538
AP009,Q3,2020,2053,37.5,32.3,70,76,0.053,760.8,75.3,4.9,31.2,804
AP007,Q1,2021,1436,17.6,98.8,84,65,0.037,735.5,62.5,1.6,38.4,1379
AP006,Q2,2023,1960,30.2,96.5,88,63,0.044,480.6,70.9,2.9,11.4,1610
AP010,Q3,2021,4231,38.7,15.4,87,72,0.013,1809.5,28.0,3.6,14.0,1847
AP001,Q4,2024,736,8.3,63.6,88,100,0.023,1013.4,57.8,1.3,21.6,1519
AP009,Q4,2020,4390,8.4,10.8,93,81,0.029,384.4,21.6,3.7,49.1,1655
AP008,Q1,2022,2123,5.3,87.7,82,81,0.017,1295.1,14.2,4.9,27.3,1646
AP002,Q4,2024,4831,15.8,48.4,97,55,0.037,1192.5,34.8,3.9,17.0,1299
AP012,Q2,2022,1383,49.9,19.1,69,85,0.025,2155.7,21.7,4.4,16.2,1569
AP010,Q1,2020,1961,16.4,24.3,75,44,0.023,1598.5,20.9,3.2,38.1,860
AP005,Q3,2024,1971,7.9,41.4,83,61,0.022,795.8,93.6,5.1,22.6,1098
AP001,Q4,2023,2531,5.2,8.9,74,87,0.055,1236.7,71.5,5.4,44.5,1633
AP008,Q4,2024,4246,46.6,9.5,88,65,0.019,200.0,6.9,2.5,28.1,765
AP004,Q3,2022,4442,44.7,15.8,45,62,0.027,664.3,5.8,3.2,29.1,532
AP006,Q1,2024,2191,9.7,19.4,66,72,0.006,3916.7,85.2,5.7,48.9,1709
AP004,Q1,2023,3280,19.6,41.1,78,53,0.098,716.2,25.5,2.6,23.5,592
AP010,Q4,2024,1346,44.4,99.1,85,68,0.024,1082.6,35.3,1.9,39.6,1866
AP008,Q1,2024,3582,15.7,33.6,59,68,0.034,345.8,87.5,2.1,19.2,1646
AP011,Q3,2023,2529,41.4,79.0,68,85,0.117,939.2,93.5,1.1,37.5,1413
AP002,Q4,2021,3348,32.7,43.8,61,72,0.02,537.1,70.3,2.4,11.0,893
AP009,Q2,2022,4035,12.3,50.4,89,92,0.045,330.7,97.7,1.5,27.9,1777
AP006,Q1,2021,1799,20.9,28.9,74,95,0.066,469.6,64.6,4.0,28.0,776
AP011,Q2,2024,3068,2.7,76.9,56,62,0.088,810.0,39.0,3.7,19.5,703
AP001,Q1,2024,876,49.0,21.6,48,50,0.04,1134.4,52.9,2.8,45.2,836
AP002,Q4,2020,4324,45.6,30.5,59,83,0.037,599.8,16.6,4.6,31.5,1350
AP004,Q1,2023,2026,42.4,94.2,86,72,0.025,1053.2,22.0,5.1,33.1,957
AP007,Q2,2024,825,52.9,96.1,76,83,0.013,841.4,10.7,4.7,43.1,630
AP009,Q3,2023,4122,12.6,80.8,59,47,0.037,1470.6,6.4,4.3,14.7,1200
AP001,Q4,2022,4117,29.9,14.2,75,62,0.088,302.0,42.3,3.3,17.2,549
AP012,Q1,2024,2925,52.0,61.9,87,84,0.034,710.8,32.9,5.6,34.5,758
AP002,Q4,2021,2063,19.7,29.7,67,52,0.046,240.4,13.6,4.2,45.9,610
AP009,Q2,2023,1514,6.8,94.0,93,33,0.012,3274.7,37.4,4.0,40.7,903
AP011,Q3,2021,1541,36.3,28.4,88,57,0.038,161.6,35.2,3.8,24.4,1783
AP001,Q3,2024,4174,14.4,29.9,88,62,0.009,652.9,38.6,1.1,45.3,641
AP010,Q3,2023,2744,36.1,56.2,64,70,0.148,4191.8,28.2,3.0,36.0,700
AP007,Q3,2024,1691,41.3,57.2,96,75,0.059,368.3,78.5,1.2,36.3,1456
AP010,Q3,2023,1457,26.6,22.0,78,67,0.016,796.0,48.6,2.5,22.8,1001
AP003,Q4,2020,565,56.3,75.4,70,57,0.032,765.5,76.8,1.1,49.1,1758
AP001,Q3,2022,3275,36.9,33.3,60,75,0.056,420.9,27.1,4.3,46.7,1688
AP007,Q1,2021,2121,27.7,32.9,100,78,0.034,1087.5,72.3,5.3,28.0,1641
AP010,Q3,2023,3275,32.6,62.9,95,78,0.051,178.8,55.2,2.3,34.3,1710
AP007,Q2,2024,1442,4.2,29.5,60,59,0.005,759.7,56.6,4.7,33.0,1622
AP006,Q4,2021,2798,4.1,79.2,65,73,0.048,1560.0,43.3,4.2,35.2,1664
AP010,Q4,2023,1942,33.0,99.0,65,71,0.094,1426.9,52.9,2.1,41.8,1078
AP009,Q4,2022,3517,38.6,96.2,83,79,0.021,2775.9,18.2,3.2,48.6,1017
AP002,Q2,2022,1260,13.7,14.5,62,84,0.005,625.6,19.2,5.5,41.5,421
AP010,Q4,2024,2933,46.4,67.1,33,61,0.011,707.0,18.1,4.1,47.3,1954
AP006,Q2,2022,4488,14.2,30.1,87,91,0.039,758.5,24.3,2.2,14.1,1435
AP011,Q1,2023,3469,32.1,38.7,66,65,0.033,1058.7,31.0,3.7,47.2,456
AP011,Q3,2020,3691,55.4,38.0,87,65,0.02,266.6,84.7,5.0,18.2,342
AP006,Q3,2023,4867,15.7,4.8,68,70,0.029,709.2,42.6,2.4,40.5,1623
AP007,Q4,2024,2034,53.7,61.0,83,75,0.009,268.2,36.3,1.8,46.3,408
AP003,Q2,2022,1306,50.9,55.4,74,70,0.026,1063.3,24.8,5.7,40.8,1399
AP008,Q2,2023,4874,3.6,75.1,65,82,0.014,181.9,32.8,1.5,15.8,888
AP012,Q1,2021,3195,7.1,28.5,94,73,0.095,1200.9,11.2,3.7,20.2,394
AP004,Q4,2023,2285,8.9,22.3,93,75,0.065,336.2,6.3,2.5,37.9,1408
AP006,Q4,2023,2088,58.8,51.8,88,88,0.022,785.6,68.9,3.9,42.6,1479
AP001,Q2,2024,2046,55.2,77.1,79,86,0.016,363.4,82.6,2.4,16.3,1423
AP001,Q3,2022,1377,9.0,20.9,70,96,0.08,1868.6,5.2,2.1,32.1,1609
AP012,Q2,2023,1748,43.5,42.1,75,81,0.027,947.4,87.8,3.2,40.6,1129
AP007,Q3,2021,3784,38.2,14.2,91,89,0.012,822.2,12.1,2.0,27.7,1480
AP008,Q3,2020,3900,14.4,62.3,90,93,0.029,2310.8,40.9,3.6,49.7,1781
AP010,Q4,2024,1419,36.6,46.5,81,80,0.022,768.9,2.8,5.4,38.5,1853
AP007,Q1,2022,2978,57.7,93.7,68,67,0.024,387.7,85.8,5.3,39.0,1692
AP002,Q2,2022,4362,10.7,0.2,65,84,0.044,177.4,98.6,2.9,36.6,681
AP002,Q1,2023,3047,12.7,86.4,84,88,0.035,709.5,83.2,5.7,40.5,558
AP006,Q2,2024,1492,17.7,0.8,97,77,0.018,520.0,70.1,2.4,40.2,711
AP008,Q4,2021,4926,21.2,38.2,61,30,0.042,1040.0,1.9,3.7,29.5,781
AP003,Q3,2022,3661,32.4,3.7,67,71,0.061,172.8,35.2,5.2,32.6,988
AP006,Q4,2020,3182,3.1,33.1,69,70,0.009,827.4,36.6,4.9,36.4,1794
AP011,Q4,2023,4706,59.3,64.6,83,64,0.03,409.5,40.1,3.2,30.6,986
AP009,Q3,2024,4207,44.3,70.0,92,74,0.068,1700.7,55.8,2.6,12.4,1625
AP007,Q2,2021,2256,32.7,79.2,80,79,0.04,1022.1,2.5,4.6,40.0,898
AP008,Q3,2021,3053,18.8,61.4,67,57,0.013,228.1,82.0,2.7,33.2,1951
AP003,Q2,2024,4832,19.2,84.3,91,63,0.008,793.0,64.0,4.1,11.2,1875
AP010,Q4,2024,2606,58.3,74.0,94,88,0.024,933.1,83.8,4.9,42.7,1585
AP004,Q1,2024,4181,31.8,24.4,62,87,0.016,1537.1,7.2,4.9,28.7,1304
AP005,Q1,2023,2279,19.3,42.0,64,46,0.01,284.3,16.7,1.9,10.8,1346
AP011,Q2,2023,2182,18.3,12.3,51,90,0.02,1946.1,11.2,2.3,22.0,623
AP002,Q3,2020,1184,0.3,10.1,68,54,0.013,1522.5,28.8,3.8,39.5,505
AP001,Q3,2020,4738,29.1,73.6,68,97,0.033,839.1,0.6,4.4,28.0,1804
AP008,Q1,2023,1221,35.6,26.4,74,92,0.024,2532.9,19.6,1.8,37.9,1710
AP011,Q2,2020,651,16.0,21.9,88,91,0.014,1123.1,61.5,5.8,24.5,1826
AP004,Q3,2020,4303,22.2,75.4,82,63,0.032,2606.4,41.2,4.7,20.6,1332
AP005,Q4,2023,3777,31.2,40.3,63,88,0.011,207.5,43.2,5.5,39.0,1505
AP009,Q2,2021,2461,33.9,66.9,78,81,0.017,744.7,13.4,3.0,36.5,464
AP005,Q2,2024,945,48.8,43.6,93,65,0.027,982.4,99.7,2.2,44.7,685
AP001,Q3,2021,2443,14.9,10.9,86,66,0.122,316.8,62.4,5.7,21.8,450
AP011,Q4,2021,1840,54.4,91.7,81,66,0.009,501.1,46.4,5.3,13.7,583
AP008,Q3,2023,791,2.3,1.3,91,44,0.026,763.4,63.9,1.0,24.9,1703
AP009,Q3,2021,1974,36.8,78.8,61,88,0.025,292.3,34.4,2.5,31.8,1263
AP012,Q4,2022,3854,41.8,76.6,72,97,0.019,254.0,5.3,2.5,26.8,1704
AP007,Q2,2023,3150,0.0,61.4,79,71,0.127,196.8,66.7,3.3,46.7,1100
AP012,Q3,2021,4862,57.1,70.0,61,94,0.041,1457.2,73.3,1.0,16.1,623
AP007,Q3,2022,4371,0.5,90.3,92,53,0.008,1506.5,91.6,5.0,34.6,364
AP009,Q2,2020,1661,35.2,70.2,72,90,0.014,669.0,4.8,1.7,34.0,1186
AP005,Q1,2020,3419,8.2,42.2,95,82,0.01,694.9,82.3,2.3,20.5,390
AP001,Q1,2020,3873,30.1,90.4,68,46,0.027,975.7,26.5,2.2,35.9,809
AP009,Q1,2020,2418,17.0,85.3,78,58,0.042,1620.8,7.8,2.2,46.6,374
AP002,Q3,2024,3333,32.3,66.7,67,77,0.055,625.1,38.0,5.6,12.2,641
AP006,Q4,2023,2839,25.5,69.7,79,74,0.015,749.4,3.8,3.7,10.3,1930
AP004,Q3,2020,4190,57.8,88.2,74,78,0.063,642.5,35.7,3.0,40.5,1625
AP001,Q4,2023,3084,28.5,58.0,93,90,0.022,1412.3,79.5,1.3,19.5,306
AP010,Q2,2024,1746,55.7,38.4,78,62,0.022,1756.5,58.4,2.1,28.4,754
AP011,Q4,2024,1962,14.9,96.0,70,78,0.023,442.6,50.0,3.7,26.8,1791
AP008,Q1,2021,2861,1.2,46.4,88,80,0.059,797.3,0.4,4.7,12.2,1139
AP012,Q2,2022,4277,14.9,24.1,52,59,0.079,700.0,82.4,3.4,45.0,1937
AP005,Q3,2024,2010,2.1,32.1,64,88,0.04,322.8,20.7,2.3,20.4,1466
AP010,Q2,2020,3819,58.3,94.4,73,77,0.069,433.8,91.8,3.7,27.3,391
AP012,Q1,2020,4864,2.6,62.7,77,67,0.028,490.0,41.0,4.4,26.2,1318
AP003,Q1,2020,4202,3.5,4.7,71,74,0.106,271.9,47.6,3.9,13.0,1334
AP011,Q1,2021,1827,24.2,49.3,78,100,0.022,615.4,25.7,3.6,38.1,557
AP001,Q1,2021,2277,2.7,79.8,82,77,0.016,614.8,78.7,4.4,37.5,1627
AP005,Q1,2021,3107,38.3,48.6,86,63,0.01,2092.9,63.5,3.3,42.3,1534
AP001,Q4,2020,864,2.8,83.0,64,79,0.025,1904.2,84.4,4.5,24.9,1672
AP012,Q4,2022,2533,21.7,23.6,74,46,0.032,1313.8,55.3,5.1,47.6,1077
AP005,Q2,2021,4006,9.2,83.2,89,91,0.027,819.0,89.7,4.9,29.3,1790
AP004,Q2,2023,815,12.7,94.9,91,80,0.018,896.9,79.4,5.8,22.1,1454
AP005,Q1,2021,3399,24.9,12.9,91,49,0.031,644.9,56.8,4.2,38.7,686
AP001,Q4,2024,3751,15.4,41.7,80,63,0.011,149.1,38.7,1.5,34.4,1745
AP001,Q1,2023,2976,53.2,13.9,60,75,0.034,711.0,68.5,5.4,15.8,1454
AP004,Q1,2023,1791,51.3,51.4,57,42,0.029,1417.9,81.3,1.2,47.0,1048
AP012,Q4,2020,1241,5.6,85.5,74,91,0.067,946.9,33.6,1.9,11.5,950
AP010,Q1,2023,4611,3.4,91.6,79,77,0.056,710.5,17.7,1.4,28.7,1577
AP008,Q2,2024,3896,46.4,50.8,50,72,0.057,355.7,79.7,2.5,24.2,1450
AP007,Q3,2021,1541,42.5,31.7,83,97,0.054,353.4,32.3,2.9,39.0,1409
AP004,Q1,2022,1852,59.6,92.4,83,63,0.029,799.0,54.3,3.0,30.0,1128
AP011,Q4,2022,3748,37.4,20.9,71,58,0.106,300.0,65.1,5.8,42.8,1349
AP007,Q4,2023,4485,3.3,14.6,83,86,0.081,347.5,4.8,2.3,48.0,851
AP007,Q4,2024,4520,45.9,1.6,85,82,0.014,1317.0,44.1,2.0,41.5,1823
AP003,Q1,2020,833,15.2,10.8,73,58,0.018,1040.3,80.1,1.3,43.6,885
AP006,Q2,2023,3443,33.0,70.9,84,69,0.093,300.3,83.5,1.8,24.6,1037
AP011,Q3,2023,2471,34.7,52.4,67,72,0.053,801.4,83.8,3.5,41.3,1083
AP007,Q3,2022,3968,11.0,83.3,40,45,0.028,629.1,78.1,4.5,43.8,1771
